brand_id_1,brand_id_2,shared_subcat_n,shared_keyword_n,avg_price_gap
cutluxe,kuisine,1,0,12.5
cutluxe,marco almond,1,0,2.499999999999993
cutluxe,oster,1,0,21.659999999999997
cutluxe,retrosohoo,1,0,16.999999999999993
cutluxe,shan zu,1,0,11.499999999999993
cutluxe,syokami,1,0,9.990000000000009
cutluxe,wangmazi,1,0,2.500000000000007
d.perlla,emojoy,1,0,13.999999999999993
d.perlla,fohere,1,0,13.990000000000002
d.perlla,hampton forge,1,0,5.600000000000001
d.perlla,henckels,1,0,2.9949999999999974
d.perlla,hoshanho,1,0,8.0
d.perlla,huusk,1,0,6.0
d.perlla,imarku,1,0,1.0
d.perlla,katisun,1,0,6.0
d.perlla,keemake,1,0,20.5
d.perlla,kuisine,1,0,13.999999999999993
d.perlla,mac knife,1,0,16.509999999999998
d.perlla,marco almond,1,0,1.0
d.perlla,mccook,1,0,3.0
d.perlla,oster,1,0,20.160000000000004
d.perlla,paudin,1,0,13.005000000000003
d.perlla,retrosohoo,1,0,15.5
d.perlla,shan zu,1,0,10.0
d.perlla,styled settings,1,0,9.0
d.perlla,syokami,1,0,11.490000000000002
d.perlla,wangmazi,1,0,4.0
emojoy,fohere,1,0,0.009999999999990905
emojoy,hampton forge,1,0,19.599999999999994
emojoy,henckels,1,0,16.99499999999999
emojoy,hoshanho,1,0,5.999999999999993
emojoy,huusk,1,0,19.999999999999993
emojoy,imarku,1,0,14.999999999999993
emojoy,katisun,1,0,19.999999999999993
emojoy,keemake,1,0,34.49999999999999
emojoy,kuisine,1,0,0.0
emojoy,mac knife,1,0,2.510000000000005
emojoy,marco almond,1,0,14.999999999999993
emojoy,mccook,1,0,16.999999999999993
emojoy,oster,1,0,34.16
emojoy,paudin,1,0,27.004999999999995
emojoy,retrosohoo,1,0,29.499999999999993
emojoy,shan zu,1,0,23.999999999999993
emojoy,styled settings,1,0,22.999999999999993
emojoy,syokami,1,0,2.509999999999991
emojoy,wangmazi,1,0,9.999999999999993
fohere,hampton forge,1,0,19.590000000000003
fohere,henckels,1,0,16.985
fohere,hoshanho,1,0,5.990000000000002
fohere,huusk,1,0,19.990000000000002
fohere,imarku,1,0,14.990000000000002
fohere,katisun,1,0,19.990000000000002
fohere,keemake,1,0,34.49
fohere,kuisine,1,0,0.009999999999990905
fohere,mac knife,1,0,2.519999999999996
fohere,marco almond,1,0,14.990000000000002
fohere,mccook,1,0,16.990000000000002
fohere,oster,1,0,34.150000000000006
fohere,paudin,1,0,26.995000000000005
fohere,retrosohoo,1,0,29.490000000000002
fohere,shan zu,1,0,23.990000000000002
fohere,styled settings,1,0,22.990000000000002
fohere,syokami,1,0,2.5
fohere,wangmazi,1,0,9.990000000000002
hampton forge,hoshanho,1,0,13.600000000000001
hampton forge,huusk,1,0,0.3999999999999986
hampton forge,imarku,1,0,4.600000000000001
hampton forge,katisun,1,0,0.3999999999999986
hampton forge,keemake,1,0,14.899999999999999
hampton forge,kuisine,1,0,19.599999999999994
hampton forge,mac knife,1,0,22.11
hampton forge,marco almond,1,0,4.600000000000001
hampton forge,mccook,1,0,2.6000000000000014
hampton forge,oster,1,0,14.560000000000002
hampton forge,retrosohoo,1,0,9.899999999999999
hampton forge,shan zu,1,0,4.399999999999999
hampton forge,styled settings,1,0,3.3999999999999986
hampton forge,syokami,1,0,17.090000000000003
hampton forge,wangmazi,1,0,9.600000000000001
henckels,katisun,1,0,3.0050000000000026
henckels,kuisine,1,0,16.99499999999999
henckels,marco almond,1,0,1.9949999999999974
henckels,oster,1,0,17.165000000000006
henckels,retrosohoo,1,0,12.505000000000003
henckels,syokami,1,0,14.485
henckels,wangmazi,1,0,6.994999999999997
hoshanho,katisun,1,0,14.0
hoshanho,kuisine,1,0,5.999999999999993
hoshanho,marco almond,1,0,9.0
hoshanho,oster,1,0,28.160000000000004
hoshanho,retrosohoo,1,0,23.5
hoshanho,syokami,1,0,3.490000000000002
hoshanho,wangmazi,1,0,4.0
huusk,katisun,1,0,0.0
huusk,kuisine,1,0,19.999999999999993
huusk,marco almond,1,0,5.0
huusk,oster,1,0,14.160000000000004
huusk,retrosohoo,1,0,9.5
huusk,shan zu,1,0,4.0
huusk,syokami,1,0,17.490000000000002
huusk,wangmazi,1,0,10.0
imarku,katisun,1,0,5.0
imarku,kuisine,1,0,14.999999999999993
imarku,marco almond,1,0,0.0
imarku,oster,1,0,19.160000000000004
imarku,retrosohoo,1,0,14.5
imarku,shan zu,1,0,9.0
imarku,syokami,1,0,12.490000000000002
imarku,wangmazi,1,0,5.0
katisun,keemake,1,0,14.5
katisun,kuisine,1,0,19.999999999999993
katisun,mac knife,1,0,22.509999999999998
katisun,marco almond,1,0,5.0
katisun,mccook,1,0,3.0
katisun,oster,1,0,14.160000000000004
katisun,paudin,1,0,7.005000000000003
katisun,retrosohoo,1,0,9.5
katisun,shan zu,1,0,4.0
katisun,styled settings,1,0,3.0
katisun,syokami,1,0,17.490000000000002
katisun,wangmazi,1,0,10.0
keemake,kuisine,1,0,34.49999999999999
keemake,marco almond,1,0,19.5
keemake,oster,1,0,0.3399999999999963
keemake,retrosohoo,1,0,5.0
keemake,shan zu,1,0,10.5
keemake,syokami,1,0,31.990000000000002
keemake,wangmazi,1,0,24.5
kuisine,mac knife,1,0,2.510000000000005
kuisine,marco almond,1,0,14.999999999999993
kuisine,mccook,1,0,16.999999999999993
kuisine,oster,1,0,34.16
kuisine,paudin,1,0,27.004999999999995
kuisine,retrosohoo,1,0,29.499999999999993
kuisine,shan zu,1,0,23.999999999999993
kuisine,styled settings,1,0,22.999999999999993
kuisine,syokami,1,0,2.509999999999991
kuisine,wangmazi,1,0,9.999999999999993
mac knife,marco almond,1,0,17.509999999999998
mac knife,oster,1,0,36.67
mac knife,retrosohoo,1,0,32.01
mac knife,shan zu,1,0,26.509999999999998
mac knife,syokami,1,0,5.019999999999996
mac knife,wangmazi,1,0,12.509999999999998
marco almond,mccook,1,0,2.0
marco almond,oster,1,0,19.160000000000004
marco almond,paudin,1,0,12.005000000000003
marco almond,retrosohoo,1,0,14.5
marco almond,shan zu,1,0,9.0
marco almond,styled settings,1,0,8.0
marco almond,syokami,1,0,12.490000000000002
marco almond,wangmazi,1,0,5.0
mccook,oster,1,0,17.160000000000004
mccook,retrosohoo,1,0,12.5
mccook,shan zu,1,0,7.0
mccook,syokami,1,0,14.490000000000002
mccook,wangmazi,1,0,7.0
oster,paudin,1,0,7.155000000000001
