keyword_id,product_id,search_rank,is_sponsored,is_best_seller,is_amazon_choice
mccook knife,B0D44Q9ZCL,79,0,0,0
mccook knife,B0DPXSDG24,80,0,0,0
mccook knife,B0B6PKCXPL,81,0,0,0
mccook knife,B0DFH18683,82,0,0,0
mccook knife,B0F9SM29R5,83,0,0,0
mccook knife,B0DPZM3T9W,84,0,0,0
mccook knife,B0F3X9GF9J,85,0,0,0
mccook knife,B086L5JB2K,86,0,0,0
mccook knife,B0F4J7D8TG,87,0,0,0
mccook knife,B09XTZXF39,88,0,0,0
mccook knife,B0CGKM92PQ,89,0,0,0
mccook knife,B0DFPBQ82Z,90,0,0,0
mccook knife,B0F9KVH8JK,91,0,0,0
mccook knife,B0F9KPDCB2,92,0,0,0
mccook knife,B07H7RZ35X,93,0,0,0
mccook knife,B0DK11DSK5,94,0,0,0
mccook knife,B0DGFZ24QP,95,0,0,0
mccook knife,B0CMFBMBD7,96,0,0,0
mccook knife,B07JB658KV,97,0,0,0
mccook knife,B0DNJVFJGS,98,0,0,0
mccook knife,B0DM9DC9ZW,100,0,0,0
mccook knife,B0F5W992LB,101,0,0,0
mccook knife,B0DPF66VGH,102,0,0,0
mccook knife,B0DS63QLYG,103,0,0,0
mccook knife,B0BB1B45SR,104,0,0,0
mccook knife,B08BCFRNXN,105,0,0,0
mccook knife,B0DDXL1BFD,106,0,0,0
mccook knife,B0FCBVHD6D,107,0,0,0
mccook knife,B0DGGLRDZP,108,0,0,0
mccook knife,B0DT71D3KV,109,0,0,0
mccook knife,B0DK8R44GD,110,0,0,0
mccook knife,B0FP2B3RFG,111,0,0,0
mccook knife,B0DCX5P4QQ,112,0,0,0
mccook knife,B0B5DPM2XX,113,0,0,0
mccook knife,B0D5QTFZVJ,114,0,0,0
mccook knife,B0DPZ6B2SZ,115,0,0,0
mccook knife,B09C919JXR,116,0,0,0
mccook knife,B0F4D4YXKF,117,0,0,0
mccook knife,B0BGLQW3MT,118,0,0,0
mccook knife,B0DZJ7T45L,119,0,0,0
mccook knife,B0CG6BVDQC,120,0,0,0
mccook knife,B0B5WMW2YN,121,0,0,0
mccook knife,B07ZMKC5S9,122,0,0,0
mccook knife,B0BZQL5HJF,123,0,0,0
mccook knife,B0F8N649LZ,124,0,0,0
mccook knife,B0DBHLFR7S,125,0,0,0
mccook knife,B0CH12X12D,126,0,0,0
mccook knife,B0FQBRVYKL,127,0,0,0
mccook knife,B0DGGV93PR,128,0,0,0
mccook knife,B0CQLRDK5Y,129,0,0,0
mccook knife,B0D44D5RZX,130,0,0,0
mccook knife,B0F6YC3DHZ,131,0,0,0
mccook knife,B09Z6JXZR8,132,0,0,0
mccook knife,B0DYP24DHR,133,0,0,0
mccook knife,B0F9PVTKS3,134,0,0,0
mccook knife,B0DTWWS6LD,135,0,0,0
mccook knife,B0DM1QVV37,136,0,0,0
mccook knife,B0F332XQS4,137,0,0,0
mccook knife,B0CRYD2V9Z,138,0,0,0
mccook knife,B0DK87WJ39,139,0,0,0
mccook knife,B0C36WLZNB,140,0,0,0
mccook knife,B0FP4P5BQT,141,0,0,0
mccook knife,B0FY68P8PN,142,0,0,0
mccook knife,B0D8KYP2YG,143,0,0,0
mccook knife,B0DGTC4LDV,144,0,0,0
mccook knife,B0F9PSPTSC,145,0,0,0
mccook knife,B0DFW8YTK6,146,0,0,0
mccook knife,B0FY2P71J5,147,0,0,0
mccook knife,B08JCV2PF6,148,0,0,0
mccook knife,B0FX1D2TF6,149,0,0,0
mccook knife,B08JLG355F,150,0,0,0
mccook knife,B0G6WCCXXM,151,0,0,0
mccook knife,B0DQ264PDV,152,0,0,0
mccook knife,B0FLYHKQG8,153,0,0,0
mccook knife,B0FZC8HXSQ,154,0,0,0
mccook knife set,B09G6QX21B,2,0,0,0
mccook knife set,B09GBBMTNS,3,0,0,0
mccook knife set,B08FJDVTS2,5,0,0,0
mccook knife set,B00GHX5HGG,6,0,0,0
mccook knife set,B0BFQLRHTJ,9,0,0,0
mccook knife set,B0D9B96TBX,10,0,0,0
mccook knife set,B0D1Y4J72B,11,0,0,0
mccook knife set,B0FP4LWWDD,12,0,0,0
mccook knife set,B0FP5MTLP7,13,0,0,0
mccook knife set,B0FJ1M2J1S,14,0,0,0
mccook knife set,B0CXV6PRZP,15,0,0,0
mccook knife set,B0DZHL47FD,16,0,0,0
mccook knife set,B0FPFP76B3,17,0,0,0
mccook knife set,B0CWRCCFTM,18,0,0,0
mccook knife set,B0C1YBPJ43,19,0,0,0
mccook knife set,B0DYSJWY1X,20,0,0,0
mccook knife set,B0F2TBYJ5H,21,0,0,0
mccook knife set,B0916H4ZSS,22,0,0,0
mccook knife set,B0BW91HX7D,23,0,0,0
mccook knife set,B09HCX9BTV,27,0,0,0
mccook knife set,B0FFMJXW66,28,0,0,0
mccook knife set,B00FLQ4EE6,29,0,0,0
