product_id,title,price_num,discount_rate,product_rating,product_rating_count,bsr_category_norm,best_subcat_name,best_subcat_rank,bsr_rank,is_fba,has_aplus,image_count,bullet_count,bought_count_number_clean
B0DLZDWWCM,"Damascus Pattern 15-Piece Kitchen Knife Set With Block, High Carbon Steel Chef Knife, Includes Sharpener And Scissors, Ergonomic Black Anti-Slip Handle And Red Trim, Perfect For Professionals",35.99,,4.7,404,kitchen & dining,,,3533.0,0,1,9,5,
B00GIBKCGC,"Cuisinart C77TR-3P Triple Rivet Collection 3-Piece Knife Set, 8-Inch Chef's, 5.5-Inch Utility and 3.5-Inch Paring",34.99,,4.6,899,kitchen & dining,,,61997.0,1,1,4,5,50.0
B0DGB59ZT9,"Cuisinart 3-Piece Stainless Steel Knife Set, Includes 8"" Chef Knife w/Guard, 5.5"" Serrated Utility Knife, 3.5"" Paring Knife",29.95,,4.8,78,kitchen & dining,,,311805.0,1,1,7,5,
B0FL9DZ9HV,"KitchenAid Classic Natural Knife Block Set with Built-In Sharpener, High-Carbon Japanese Stainless Steel Knives, Charcoal Gray, 14-Piece",79.19,0.4720314687645843,4.4,34,kitchen & dining,,,382310.0,1,1,9,5,
B09BQV3XNF,"Kitchen Knife Set with Block, all in one 19 PCS High Carbon Stainless Steel Sharp Serrated Steak Knives Set, Chef Knives, Bread Knife, Scissor, Sharpener",36.99,,4.5,5314,kitchen & dining,,,12872.0,1,1,10,5,
B0CG2BFKDM,"Cuisinart Classic Forged Knife Set – High-Carbon Hammered Stainless Steel Blades, Sheath Guards, Ultra Sharp Edge, Extra-Wide Bolster for Stability (4-Piece Set: 7"" Santoku, 5"" Santoku)",29.99,,4.8,89,kitchen & dining,,,59600.0,1,1,4,5,50.0
B09NN1FHJG,"Damascus Kitchen Knife Sets, 9 Pieces Kitchen Knives Set with Block, ABS Ergonomic Handle for Chef Knife Set, Knife Sharpener and Kitchen Shears, Knife Block Set",99.99,0.4117889287605153,4.6,510,kitchen & dining,,,41633.0,1,1,10,5,
B0C6X91FCZ,"HOSHANHO Knife Set with Magnetic Knife Holder, 6 Pieces Japanese High Carbon Stainless Steel Kitchen Knife Sets, Ultra Sharp Professional Chef Knives Sets",219.99,,4.6,1384,kitchen & dining,,,6768.0,0,1,10,5,200.0
B0CMZ7N6Z8,"Kuisine Premium Knife Set,One-piece Steel Molding,High Carbon Stainless Steel Ultra Sharp,Non-slip Ergonomic Solid Steel Handle,Built-in Sharpener Knife Block Set,Luxury Gift(15PCS,BlackPro EX)",79.99,,4.7,2357,kitchen & dining,,,7708.0,1,1,10,5,50.0
B09N7FCX8W,PAUDIN Cleaver Knife + Boning Knife,43.98,0.5001136621959537,4.8,11,,,,,1,1,9,5,
B0C8HXRQN7,"Sunnecko 8 Inch Chef Knife Japanese Kitchen Knife Sharp, Chefs Knife Carbon Steel 3-Layered 9CR18MOV, Rosewood Handle Gift Box",49.99,0.1918849013902359,4.6,484,kitchen & dining,,,150199.0,1,1,10,5,
B09793FKG8,PAUDIN Bread Knife + Chef Knife,35.54,0.703783963993999,5.0,1,,,,,1,1,9,5,
B0CFXWNSP8,"Damascus Knife Set 3 PCS with Premium VG10 Damascus Steel, Ultra-Sharp Professional Japanese Kitchen Knife Set, Full Tang Chef Knife Set with G10 Hand",84.99,,4.8,82,kitchen & dining,,,151556.0,1,1,10,5,
B0CWH4MF7W,"HOSHANHO 7 Inch Nakiri Knife, Japanese High Carbon Stainless Steel Chef Knife, Multipurpose Meat Vegetable Sharp Kitchen Knife with Ergonomic Pakkawood Handle",65.99,0.164472018232464,4.8,1287,kitchen & dining,,,2419.0,0,1,10,5,2000.0
B09N7F6C3V,PAUDIN Cleaver Knife + Nakiri Knife,62.99,0.4749958326387731,4.3,5,,,,,1,1,9,5,
B0BMFTPFSY,PAUDIN Cleaver Knife + Santoku Knife,67.99,0.2916232548447594,5.0,1,,,,,1,1,9,5,
B0CZ747XJJ,"imarku Knife Set, 16PCS High Carbon Stainless Steel Kitchen Knife Sets with Block Ultra Sharp Knife Block Set, Japanese Knife Set with Dotted Non-slip Ergonomic Handle, Dark Brown, Best gifts",129.99,0.235307959291723,4.6,2125,kitchen & dining,,,56437.0,1,1,10,5,
