asin,week_start,week_review_n,week_avg_review_rating,week_verified_ratio,week_helpful_sum,week_avg_text_len
B00FLQ4EE6,2026-01-05,3,3.6666666666666665,1.0,0,116.0
B00FLQ4EE6,2026-01-12,2,5.0,1.0,0,276.5
B00GHX5HGG,2025-12-15,3,5.0,1.0,0,127.66666666666667
B00GHX5HGG,2025-12-22,16,3.875,0.9375,4,223.375
B00GHX5HGG,2025-12-29,15,3.4,0.9333333333333333,4,171.6
B00GHX5HGG,2026-01-05,9,3.111111111111111,1.0,0,176.55555555555554
B00GHX5HGG,2026-01-12,7,3.142857142857143,1.0,0,347.42857142857144
B00N9HWFLS,2025-10-13,1,2.0,1.0,0,37.0
B00N9HWFLS,2025-10-20,1,5.0,1.0,0,121.0
B00N9HWFLS,2025-10-27,1,5.0,1.0,0,167.0
B00N9HWFLS,2025-12-01,2,3.0,1.0,2,376.0
B00N9HWFLS,2025-12-22,1,5.0,1.0,0,9.0
