asin,sample_review_n,avg_review_rating_sample,review_rating_std_sample,verified_ratio,helpful_sum,helpful_mean,has_text_ratio,avg_text_len,first_review_date,last_review_date,scrape_cap_10_flag,scrape_cap_100_flag,brand,brand_norm,price_num,bsr_rank,is_fba,has_aplus,image_count,best_subcat_rank,best_subcat_name,bought_count_number_clean
B07HGRSC74,100,4.01,1.4940623220676648,0.75,89,0.89,1.0,147.01,2024-12-20,2026-01-09,0,1,Marco Almond,marco almond,78.89,9365.0,True,True,10,,,50.0
B07HGTGN3K,10,2.6,1.5055453054181622,0.9,3,0.3,1.0,335.1,2025-12-30,2026-01-10,1,0,Marco Almond,marco almond,89.99,54418.0,True,True,10,,,500.0
B07K46875F,10,4.7,0.6749485577105528,1.0,0,0.0,1.0,97.7,2025-12-04,2026-01-05,1,0,PAUDIN,paudin,21.59,12456.0,True,True,10,,,400.0
B07KC949P2,15,4.466666666666667,1.2459458063579458,1.0,0,0.0,1.0,67.2,2025-12-29,2026-01-13,0,0,PAUDIN,paudin,26.19,5754.0,False,True,10,,,4000.0
B07PT5MT1H,10,3.6,1.429840705968481,0.8,3,0.3,1.0,215.4,2025-08-26,2025-12-29,1,0,imarku,imarku,39.99,215539.0,True,True,10,,,
B07Q1FFC65,100,4.13,1.4540434739863952,0.91,119,1.19,1.0,218.54,2025-04-28,2026-01-12,0,1,MOSFiATA,mosfiata,29.99,5514.0,True,True,10,,,3000.0
B07QG2L8F1,10,3.3,1.888562063228706,1.0,0,0.0,1.0,114.8,2025-07-05,2026-01-04,1,0,FINDKING,findking,45.99,61260.0,True,True,10,,,
B07SZSGVXM,10,4.7,0.6749485577105528,0.9,0,0.0,1.0,134.6,2025-12-20,2026-01-06,1,0,XYJ,xyj,25.49,5073.0,True,True,8,12.0,Chef's Knives,
B07YPY9Q6G,10,5.0,0.0,1.0,0,0.0,1.0,349.3,2026-01-04,2026-01-08,1,0,FAMCÜTE,famcüte,49.99,7203.0,True,True,9,20.0,Chef's Knives,
B085XYC5L5,3,3.6666666666666665,1.5275252316519465,1.0,0,0.0,1.0,136.66666666666666,2025-11-24,2025-12-31,0,0,imarku,imarku,69.99,57900.0,True,True,9,31.0,Steak Knives,
B0865TNBKC,8,4.5,1.4142135623730951,0.75,0,0.0,1.0,74.5,2026-01-05,2026-01-10,0,0,imarku,imarku,26.64,2090.0,True,True,10,,,3000.0
B089SQ3CG2,1,1.0,,1.0,0,0.0,1.0,75.0,2025-12-31,2025-12-31,0,0,McCook,mccook,52.99,4271.0,True,True,10,,,1000.0
